"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Ayacucho - Common Plants of Pastizales Andinos","1031","10","Peru","Ayacucho","Plants","Fiorella Eduardo, Héctor Chuquillanqui, Wilson Velásquez, Elib Chuchon, Pablo Najarro, Reynaldo Linares-Palomino","September, 2018","2018","English"
"Sucre - Amphibians and Reptiles of Colosó-Chalán","1030","7","Colombia","Sucre","Animals, Amphibians, Reptiles","Sergio Alejandro Peláez, Alejandra Perlaza Berrio","October, 2018","2018","English"
"Pichincha -  Medium and Large  Mammals of the Mashpi Protected Forest","1029","4","Ecuador","Pichincha","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha, Hugo Trávez, Carlos Morochz, Anderson Medina","July, 2018","2018","English"
"Pichincha -  Mammals from the Yunguilla Conservation and Sustainable Use Area, Tropi-Andino Connectivity Corridor","1028","5","Ecuador","Pichincha","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha, Hugo Trávez, Raúl Torres, Fabián Collaguazo, Rolando Collaguazo","July, 2018","2018","English"
"Imbabura - Mammals of Parroquia Plaza Gutiérez, Valle de Intag","1027","3","Ecuador","Imbabura","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha, Hugo Trávez","May, 2018","2018","English"
"Chindul - Mammals of the Cube Lagoon, Mache Ecological Reserve","1026","4","Ecuador","Esmeraldas","Animals, Mammals","Marco Avila, Mercy Cabrera, Alfredo Carranco, Alejandro Lara, Manuel Loor, Jairo Marín, Juan Ostaiza, Silvana Sabando, Bryan Villavicencio, Carlos Urgiles, Freddy Gallo, Hugo Trávez","July, 2018","2018","English"
"Cusco - Palynological Flora of Valle Sagrado de los Incas (vol. II)","1025","13","Peru","Cusco","Plants","Raúl Yuca-Rivas ","July, 2018","2018","English"
"Cundinamarca - Birds of San Antonio de Tequendama","1024","5","Colombia","Cundinamarca","Animals, Birds","María Angélica Suarez González , Germán Leonel Sarmiento Cruz","February, 2019","2019","English"
"Cusco - Palynological Flora of Valle Sagrado de los Incas (vol. I.)","1023","12","Peru","Cusco","Plants","Raúl Yuca-Rivas ","June, 2018","2018","English"
" Birds Registered in the Airports of Southern Colombia","1022","37","Colombia","","Animals, Birds","Esteban Carrillo Chica, Arley Gallardo, Lesly Rocío Peña Báez, Yina Torres Polanco, Ángela Mayorga, Holman Durán, Xiomara Capera, Margarita Restrepo, Luis Fernando Jaramillo","November, 2018","2018","English"
"Veracruz - Cerambycidae of Los Tuxtlas Biological Station","1021","2","Mexico","Veracruz","Animals, Insects","Rosamond Coates, Martha Madora-Astudillo, Fernando Villagómez, Oscar Pérez-Flores","June, 2018","2018","English"
"Veracruz - Melolonthinae & Rutelinae of Los Tuxtlas Biological Station","1020","2","Mexico","","Animals, Insects","Martha Madora-Astudillo , Rosamond Coates","May, 2018","2018","English"
"Bahia - Phanerogamic Flora of the Municipal Park of the Dunes: Most Common Species","1017","7","Brazil","Bahia","Plants","Leandro Vieira dos Santos Aguiar, Juliana Fonseca, Ramon Alves Leal, Felipe Fajardo Villela Antolin Barberena, Maria Aparecida José de Oliveira5","December, 2018","2018","English"
"Inhambe - Coastal Plants of Govuro River and Bazaruto Archipelago","1016","36","Mozambique","Inhambane","Plants","Sune Holt","December, 2018","2018","English"
"Loja - Common Plants of Ahuaca Mountain","1015","5","Ecuador","","Plants","Carlos Eduardo Cerón Martínez, Carmita Isabel Reyes Tello , Pedro P. Peralta","May, 2018","2018","English"
"Plants of Savannakhet Province","1014","14","Lao People's Democratic Republic","Savannakhet","Plants","Djaja Doel Soejarto , Bethany Elkington, Kongmany Sydara, Onelivay Souliya, Mouachanh Xayveu","April, 2018","2018","English"
"Santa Catarina - Climbing Plants of the Costa Brava Environmental Preservation Area","1013","19","Brazil","Santa Catarina","Plants, Climbers","Alexandre da Silva Medeiros, Claudia Salete Pegoraro, Greta Aline Dettke","April, 2018","2018","English"
"Loreto - Fishes of Puerto Prado ","1012","4","Peru","Loreto","Animals, Fishes","Lenin Chumbe, Omar Loyola, Rosa María Cañedo, Nicol Faustino, Enrique Pareja, José Apaza , Hernán Ortega","May, 2018","2018","English"
"Santa Catarina - Orchidaceae of Costa das Orquídeas","1011","11","Brazil","Santa Catarina","Plants","Alexandre da Silva Medeiros, Claudia Salete Pegoraro, Thiago Faria dos Santos, Eric de Camargo Smidt","April, 2018","2018","English"
"Pichincha - Mammals of Bosque Protector Cambugán","1010","3","Ecuador","Pichincha","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha , Hugo Trávez","May, 2018","2018","English"
"Ayacucho, Huancavelica, Ica, Lima - Amphibians and Reptiles along the PERU LNG pipeline","1009","4","Peru","Ayacucho, Huancavelica, Ica, Lima","Animals, Amphibians, Reptiles","Víctor Vargas García ","July, 2018","2018","English"
"Esmeraldas - Mammals of Bilsa Biological Station and Mache-Chindul Ecological Reserve","1008","6","Ecuador","Esmeraldas","Animals, Mammals","Carlos Urgilés-Verdugo, Freddy Gallo Viracocha","May, 2018","2018","English"
"Yungas de La Paz - Fruits of Cotapata National Park (Sillutinkara trail)","1007","4","Bolivia","","Plants","Beatriz Nieto-Ariza, Yara Fernández, Alfredo Fuentes, Freddy Zenteno, Emilio Sánchez, Huber Villca, Flavia Montaño-Centellas","April, 2018","2018","English"
"Guaviare - Bats of San José del Guaviare","1006","5","Colombia","Guaviare","Animals, Mammals","Rafael Agudelo Liz, Valentina Giraldo Gutiérrez, Víctor Julio Setina Liz","May, 2018","2018","English"
"Epiphytic and Lithophytic Fern and Lycophyte Genera of Belize","1005","12","Belize","","Plants","Sally M. Chambers, Bruce K. Holst, Ella Baron, David Amaya, Marvin Paredes","April, 2018","2018","English"
"Smooth-leaved Bromeliaceae of Belize (excluding Tillandsia)","1004","6","Belize","","Plants","Bruce K. Holst , David Amaya, Ella Baron, Marvin Paredes, Elma Kay","May, 2018","2018","English"
