"Guide Title","Guide #","# of pages","Country","State/Province","Category/Subcategory","Authors","Date created","Year published","Language"
"Minas Gerais -- Melastomataceae of Serra Negra","600","2","Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Luciana Leitão Justino, Berenice Chiavegatto, Diego Rafael Gonzaga,  Luiz Menini Neto","December, 2013","2013","English"
"Illinois -- Burnham Wildlife Corridor ","599","5","USA","","Animals, Birds, Insects, Mammals, Plants, Terrestrial herbs, Trees","Rebecca Collings,  Mario Longoni, John Balaban","September, 2015","2015","English"
"Native Seeds of Passifora from Venezuela","598","4","Venezuela","","Plants, Seeds","Silvia Pérez-Cortéz","July, 2016","2016","English"
"San Martín, Loreto, Ucayali and Huánuco -- Amphibians of Cordillera Azul National Park","596","7","Peru","","Animals, Amphibians","Kaitlin Tasker, Evan Twomey","October, 2015","2015","English"
"Cundinamarca --  Macrofungi of ""La Reserva"" Biopark ","595","3","Colombia","","Fungi and Lichens, Mushrooms","Gineth Adriana Calderón Padilla, Bibiana Moncada , Robert Lücking","June, 2015","2015","English"
"Illinois - Common Summer Birds of Chicago","593","3","USA","","Animals, Birds","Josh Engel","June, 2015","2015","English"
"Arecibo -- Lichens of Mata de Plátano Field Station","592","2","Puerto Rico","","Fungi and Lichens, Lichens","Joel A. Mercado-Díaz , Robert Lücking","June, 2015","2015","English"
"Indiana - Amphibians and Reptiles of Logansport and Vicinity","590","1","USA","","Animals, Amphibians, Reptiles","Alan Resetar","February, 2014","2014","English"
"Cundinamarca -- Common Plants of Hyca Sua","589","4","Colombia","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","José A. Muñoz Díaz , Claudia P. Ortíz Parra","May, 2015","2015","English"
"Casanare -- Lichens: Cora and Dictyonema","588","1","Colombia","","Fungi and Lichens, Lichens","Leidy Y. Vargas Mendoza, Robert Lücking, Bibiana Moncada","March, 2015","2015","English"
"Eastern Region -- Medicinal Plants","587","2","Paraguay","","Plants, Useful plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Rosa Degen, Gloria Delmas, Germán González, Yenny González, Liz Britos","March, 2015","2015","English"
"Illinois -- Common Butterflies of the Chicago Region - Specimen and Live Photos","586","7","USA","","Animals, Insects","Cassie Kelsey, Jim Boone","February, 2015","2015","English"
"Zamora-Chinchipe -- Copalinga Ecolodge - Butterflies","585","3","Ecuador","","Animals, Insects","Daniel P. Lazar","February, 2015","2015","English"
"Namibia and Botswana -- Common Birds","584","9","Namibia, Botswana","","Animals, Birds","Josh Engel","January, 2015","2015","English"
"Loreto -- Ere, Campuya and Algodón Rivers - Fishes","583","5","Peru","","Animals, Fishes","Max Hidalgo, Javier Maldonado, Roberto Quispe","February, 2015","2015","English"
"La Paz -- Yungas - Grammitidaceae Ferns","582","4","Bolivia","","Plants, Epiphytes, Terrestrial herbs","Iván Jiménez Pérez","February, 2015","2015","English"
"Orellana--Birds, Mammals & Reptiles subject to Trafficking","581","7","Ecuador","","Animals, Birds, Mammals, Reptiles","Marco Salazar Romero, Cristina Hernández","December, 2014","2014","English"
"Madre de Dios -- Herpetofauna of Manu Wildlife Center","580","5","Peru","","Animals, Reptiles, Amphibians","Ken Toyama Campos,  Luciana Blanco Villafuerte","September, 2014","2014","English"
"Pichincha -- Vertebrates of Cayambe-Coca Park","579","3","Ecuador","","Animals, Amphibians, Birds, Mammals, Reptiles","Carlos Narváez Romero, Leonardo Ordoñez Delgado","September, 2014","2014","English"
"Illinois -- Kankakee County - Common Species of Pembroke Township","578","4","USA","","Animals, Amphibians, Birds, Insects, Reptiles, Plants, Shrubs and treelets, Terrestrial herbs, Trees","John Balaban, Erika Hasle, Rebecca Collings, Kim Roman","December, 2014","2014","English"
"Valle del Cauca -- Farrallones de Cali - Melastomataceae","577","10","Colombia","","Plants, Trees, Shrubs and treelets, Climbers","Marcela Alvear, Gilberto Ocampo , Frank Almeda","February, 2015","2015","English"
"Meta -- Amphibians and Reptiles","576","15","Colombia","","Animals, Amphibians, Reptiles","Ana Milena Ramírez-Villalba, Diego A. Gómez, Álvaro Andrés Velásquez, Juan Salvador Mendoza","May, 2015","2015","English"
"Illinois - Woodland Spring Flora","575","4","USA","Illinois","Plants","Jane Balaban, John Balaban","October, 2017","2017","English"
"Carchi -- Small Mammals of Reserva El Angel","573","3","Ecuador","","Animals, Mammals","Jorge Brito M.,  Reed Ojala-Barbour,  William R. Teska","April, 2014","2014","English"
"São Paulo -  Fruits and Seeds in the diet of Manacus manacus (aves)","572","2","Brazil","São Paulo","Other (Plants)","César Cestari","August, 2017","2017","English"
"Loreto -- Cordillera Escalera Common Plants","571","8","Peru","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","David Neill,  Corine Vriesendorp,  Marcos Ríos,  Tony Mori,  Luis Torres,  Giussepe Gagliardi,  Alvaro Del Campo","June, 2014","2014","English"
"San Pedro -- Snakes of Laguna Blanca","570","2","Paraguay","","Animals, Reptiles","Para La Tierra (Jean-Paul Brouard, Helen Pheasey, John T. Smit, Karina Atkinson, Paul Smith","April, 2014","2014","English"
"Goiás - Flora of Catalão municipality","568","3","Brazil","Goiás","Plants","Geovane S. Siqueira, Luiz Felipe C. de Campos, José Alves Nunes, William de Souza Caixeta","March, 2017","2017","English"
"San Pedro -- Lizards, Amphisbaenids, Blind-snakes","567","2","Paraguay","","Animals, Reptiles","Para la Tierra (Jean-Paul Brouard, Helen Pheasey, Paul Smith","April, 2014","2014","English"
"Líquenes Epiphytes of Quercus humboldtii","566","4","Colombia","","Fungi and Lichens, Lichens","Diego Simijaca,  Bibiana Moncada,  Robert Lücking","March, 2014","2014","English"
"San Pedro -- Amphibians of Laguna Blanca Reserve","565","2","Paraguay","","Animals, Amphibians","Para la Tierra (Jean-Paul Brouard, Helen Pheasey, Paul Smith","March, 2014","2014","English"
"Indiana -- Common Amphibians and Reptiles of Lake and Porter Counties","563","1","USA","","Animals, Amphibians, Reptiles","Alan Resetar","February, 2014","2014","English"
"Chiang Mai -- Plants of Doi Inthanon Park","562","19","Thailand","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Heike Betz,  Prachaya Srisanga,  Piyakaset Suksathan","June, 2014","2014","English"
" Rio Grande -- Seedlings of El Yunque Natural Forest","560","11","Puerto Rico","","Plants, Seedlings","María Natalia Umaña, Roxanne Cruz-de Hoyos, Nathan G. Swenson","January, 2014","2014","English"
"Barro Colorado --  Selected Clades of Trees & Shrubs","559","20","Panama","","Plants, Shrubs and treelets, Trees","Brian Sedio,  Robin Foster,  editors","May, 2014","2014","English"
"Barro Colorado -- 50 Most Abundant Trees & Shrubs","558","13","Panama","","Plants, Shrubs and treelets, Trees","Robin Foster,  Brian Sedio,  editors","May, 2014","2014","English"
"Cauca -- Lichens of  Páramo Las Delicias ","557","2","Colombia","","Fungi and Lichens, Lichens","Jhon Jairo Salas, Rouchi Peláez P., Keity Farfán, David Huertas, Linney Arias, Bibiana Moncada","January, 2014","2014","English"
"Cundinamarca -- Lichens of the Fucha and Arzobispo rivers","556","2","Colombia","","Fungi and Lichens, Lichens","Jean M. Torres, Alejandro Perez, Bibiana Moncada, Robert Lücking","January, 2014","2014","English"
"Atlantic Forest -- The genus Phymatidium (Orchidaceae)","555","1","Brazil","","Plants, Epiphytes","Carla Adriane Royer,  Antonio Luz Vieira Toscano de Brito,  Eric de Camargo Smidt","April, 2014","2014","English"
"Illinois -- Ravine and Bluff Vegetation of the Chicago Region","552","8","USA","","Plants, Climbers, Shrubs and treelets, Terrestrial herbs, Trees","Rachel Goad, Kristina Geiger, Dan Fink, Susanne Masi","","2013","English"
"Meta -- Lichens of San Martín ","551","4","Colombia","","Fungi and Lichens, Lichens","Rouchi Peláez P., Bibiana Moncada,  Robert Lücking","October, 2013","2013","English"
"Guaviare - Birds of San José del Guaviare","550","14","Colombia","","Animals, Birds","Alejandro Pinto-Gómez,  Juan Pablo López-Ordóñez, Oscar Humberto Marin-Gómez","November, 2014","2014","English"
"Plants of Greenland","548","25","Greenland","","Plants, Shrubs and treelets, Terrestrial herbs","Sune Holt","October, 2013","2013","English"
"Graphidaceae of Thailand 4: The genera Rhabdodiscus & Stegobolus","547","1","Thailand","","Fungi and Lichens, Lichens","Khwanruan Butsatorn-Papong, H. Thorsten Lumbsch, Robert Lücking","October, 2013","2013","English"
"Graphidaceae of Thailand 3: The genera Glaucotrema, Leucodecton, Melanotrema, Myriotrema & Thelotrema","546","1","Thailand","","Lichens, Fungi and Lichens","Khwanruan Butsatorn-Papong, H. Thorsten Lumbsch, Robert Lücking ","October, 2013","2013","English"
"Graphidaceae of Thailand 2: The genera Astrochapsa, Chapsa, Compositrema, Nitidochapsa, Pseudochapsa & Pseudotopeliopsis","545","2","Thailand","","Fungi and Lichens, Lichens","Khwanruan Butsatorn-Papong, H. Thorsten Lumbsch, Robert Lücking","October, 2013","2013","English"
"Graphidaceae of Thailand 1: The genus Ocellularia","544","3","Thailand","","Fungi and Lichens, Lichens","Khwanruan Butsatorn-Papong, H. Thorsten Lumbsch, Robert Lücking","October, 2013","2013","English"
"Loreto -- Shawi Medicinal Plants","543","10","Peru","","Plants, Useful plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Robin Foster, Tyana Wachter, Mario Pariona, Juliana Philipp","December, 2013","2013","English"
"Orchids of Amarakaeri ","542","2","Peru","","Plants, Terrestrial herbs, Climbers, Epiphytes","Alexander Damian Parizaca, Magdalena Pavlich Herrera","December, 2013","2013","English"
"Rio de Janeiro - Orchidaceae of the Palmares Environmental Protection Area","540","4","Brazil","","Plants","Marília Suzy Wängler, Felipe F.V.A. Barberena, Rosana Conrado Lopes","May, 2017","2017","English"
"Minas Gerais -- Birds of Iracambi","538","10","Brazil","","Animals, Birds","Daniel Esser, Julia Migné, Muffi Forbes, Ricardo Mendes, Cassie Wells","January, 2014","2014","English"
"Cochabamba -- Plants of Tunari National Park","537","24","Bolivia","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Modesto Zarate, Saúl Altamirano","September, 2013","2013","English"
"Cauca - Plants of the Tropical Dry Forest of the Cauca River","536","4","Colombia","Departamento del Cauca","Plants","Juan Manuel Campo Kurmen","December, 2018","2018","English"
"Napo -- Volcan Sumaco Plants","535","5","Ecuador","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Epiphytes","Pablo Lozano, Janani Lozano , Jhon Yangora","March, 2015","2015","English"
"Illinois - Pennsylvanian Age Fossils of Mazon Creek Region","534","5","USA","","Plants, Other (Plants)","Jack Wittry, Ian Glasspool","December, 2013","2013","English"
"Illinois -- Common Butterflies of the Chicago Region - Live Photos","533","5","USA","","Animals, Insects","Rebecca Collings, John Balaban","July, 2013","2013","English"
"Paraíba -- Bromeliaceae","532","2","","","Plants, Climbers, Epiphytes, Terrestrial herbs","Ricardo Ambrósio S. de Pontes, Rafaela Campostrini Forzza","September, 2015","2015","English"
"Baja Vera Paz -- Plants of Biotopo del Quetzal ","531","18","Guatemala","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Sune Holt","June, 2013","2013","English"
"Nariño --  Lago Guamués - Lycophytes and Monilophytes","529","5","Colombia","","Plants, Terrestrial herbs, Epiphytes","Sandra Milena Urbano Apraez, Bernardo R. Ramírez Padilla, Martha Sofía González Insuasti","March, 2015","2015","English"
"Selected Salix and Populus species of Himalaya","528","3","India","","Plants, Trees, Shrubs and treelets","Sukla Chanda","May, 2013","2013","English"
"Selected medicinal plants of West Bengal","527","1","India","","Plants, Useful plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers","Sukla Chanda","April, 2013","2013","English"
"Costa Rica & Panamá - Common Species of Calathea","526","5","Costa Rica","","Plants","Helen Kennedy","October, 2016","2016","English"
"Madre de Dios -- Manu, Fungi of Cocha Cashu","525","7","Peru","","Fungi and Lichens, Mushrooms","Patricia Alvarez Loayza, Larry Evans, D. Jean Lodge","February, 2014","2014","English"
"Amphibians Sierra de Ayacucho and Apurímac, Peru","521","2","Peru","","Animals, Amphibians","Víctor J. Vargas García","March, 2013","2013","English"
"San José -- Plants of El Rodeo Protected Zone","520","18","Costa Rica","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Ricardo Kriebel","June, 2013","2013","English"
"San José -- Plants of Cerros de Escazú Protected Zone","519","7","Costa Rica","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Ricardo Kriebel","June, 2013","2013","English"
"Atlántida -- Tela, Plantas de los Calles","518","2","Honduras","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Robin Foster,  Sune Holt","June, 2013","2013","English"
"Atlántida -- Plants of Pico Bonito","517","10","Honduras","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Robin Foster,  Sune Holt","June, 2013","2013","English"
"Atlántida -- Lancetilla Valley Reserve, Native Plants","516","7","Honduras","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Robin Foster,  Sune Holt","June, 2013","2013","English"
"Minas Gerais -- Drosera","515","3","","","Plants","Paulo Minatel Gonella","October, 2015","2015","English"
"Cusco -- Avian Nesting along an Altitudinal Gradient - Manu National Park","514","36","Peru","","Animals, Birds","Gustavo Adolfo Londoño","July, 2014","2014","English"
"Illinois -- Woodland Spring Flora of the Chicago Region","513","4","USA","","Plants, Terrestrial herbs, Shrubs and treelets","R. Collings, J. Balaban","","2013","English"
"Pseudobombax of Brazil","511","3","Brazil","","Plants, Trees, Shrubs and treelets","Jefferson G. de Carvalho-Sobrinho, Marlon Câmara Machado, Luciano Paganucci de Queiroz","December, 2014","2014","English"
"São Paulo -- Stream Fish of Juréia-Itatins Reserve","510","2","Brazil","São Paulo","Animals, Fishes","Cristina Gonçalves","May, 2014","2014","English"
"South America -- Species of the Tetramerium Lineage (Acanthaceae)","509","4","Colombia, Guyana, Suriname, French Guiana, Brazil, Bolivia, Peru, Ecuador, Venezuela","","Plants, Terrestrial herbs, Climbers, Epiphytes","Ana Luiza Andrade Côrtes","April, 2013","2013","English"
"Loreto - Eré-Campuya Medicinal Plants","508","6","Peru","","Plants, Useful plants","María Elvira Molano, Mario Pariona","January, 2017","2017","English"
"León -- Isla Juan Venado - Plants","506","16","Nicaragua","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Sune Holt,  Ricardo M. Rueda,  Olga Martha Montiel,  Indiana Coronado","January, 2013","2013","English"
"Illinois -- Asters of the Chicago Wilderness Region","505","4","USA","","Plants, Terrestrial herbs, Shrubs and treelets","John Balaban, Rebecca Collings","","2013","English"
"Loreto - Plants of Ere, Campuya and Algodón rivers","504","7","Peru","Putumayo","Plants","Luis Alberto Torres-Montenegro, Marcos Antonio Ríos-Paredes","June, 2017","2017","English"
"Illinois -- Common Plant Families of the Chicago Region ","503","29","USA","Illinois","Plants, Climbers, Shrubs and treelets, Terrestrial herbs, Trees","Kathleen Garness, John Balaban, Rebecca Schillo Collings","","2012","English"
"Morona-Santiago -- Sangay Park Amphibians y Reptiles","502","9","Ecuador","","Animals, Reptiles, Amphibians","Jorge Brito M.,  Ana Almendáriz C.","February, 2013","2013","English"
"Illinois -- Common Oaks of the Chicago Region","500","4","USA","","Plants, Trees","Kathryn Stiver Corio, Rebecca Schillo Collings","March, 2015","2012","English"
"Minas Gerais -- Ibitipoca State Park - Cactaceae","499","4","Brazil","","Plants, Terrestrial herbs, Shrubs and treelets, Epiphytes","Diego Rafael Gonzaga,  Samyra Gomes Furtado,  Daniela Cristina Zappi,  Luiz Menini Neto","December, 2013","2013","English"
"Los Llanos - Corticolous Lichens","498","1","Colombia","","Fungi and Lichens, Lichens","Juan Sebastián Silano Uribe","February, 2014","2013","English"
"Manabí -- Cordillera del Bálsamo, Dry Forest Plants","497","22","Ecuador","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Natalie Pyrooz","September, 2013","2013","English"
"Huanuco -- Leticia, Reserva Sira - Orthopterans","496","3","Peru","","Animals, Insects","Rob Westerduijn,  Oscar J. Cadena-Castañeda","October, 2013","2013","English"
"Minas Gerais -- Serra do Papagaio - Epiphytes","495","20","Brazil","","Plants, Epiphytes","Samyra Gomes Furtado,  Luiz Menini Neto","October, 2013","2013","English"
"Michoacán -- Plants associated with Avocado Cultivation","494","12","Mexico","","Plants, Terrestrial herbs, Shrubs and treelets, Climbers","Yair Merlín-Uribe,  Laura Villamil-Echeverri,  Juan Martínez Cruz,  Marta Astier Calderón,  Mayra E. Gavito","February, 2014","2014","English"
"Southern Brazil -- Mistletoes","493","7","Brazil","","Plants, Epiphytes, Other (Plants)","Greta Aline Dettke,  Jorge Luiz Waechter","October, 2013","2013","English"
"Huila -- San Agustín, Reserva ASOAPA - Birds","492","5","Colombia","","Animals, Birds","Hugo Bernal Hernández,  Ricardo Venegas Bustos,  Pablo Casallas Calle","October, 2013","2013","English"
"Pará -- Birds of  Serra do Cachimbo Biological Station","491","4","Brazil","","Animals, Birds","Lucas Eduardo Araújo-Silva,  Ana Kelly Koch","September, 2013","2013","English"
"Espírito Santo -- Malpighiaceae ","490","9","Brazil","","Plants, Trees, Shrubs and treelets, Climbers","Rafael Felipe de Almeida, Maria Candida Henrique Mamede, Geovane S. Siqueira","","2013","English"
"Piauí - Pontederiaceae ","489","1","Brazil","Piauí","Plants","Hilda Cristina Evaristo Nascimento, Maria Francilene Souza Silva , Ivanilza Moreira de Andrade","November, 2017","2017","English"
"Bolívar - Zingiberales of the Cartagena Botanic Garden ","488","4","Colombia","Bolívar","Plants","Maria Paula Contreras , Santiago Madriñan","August, 2017","2017","English"
"Bolívar - Bark of Trees of the Cartagena Botanical Garden ""Guillermo Piñeres""","487","3","Colombia","Bolívar","Plants, Trees","David Duplat, Alejandra Ramírez, Laura Gómez, Jorge Lopéz, Mauricio Bernal, Nicolás Rodríguez, Maria Paula Contreras","August, 2017","2017","English"
"Pernambuco -- Serra do Urubu - Herbs","486","3","Brazil","","Plants, Terrestrial herbs","Jéssica Lira Viana,  Maria Regina de Vasconcellos Barbosa","September, 2013","2013","English"
"Paraiba -- Afloramentos Rochosos Plants","485","2","Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs","Manuel Jeovani P. Costa,  Thaynara S. Silva,  Herbert C. S. Araújo,  Wallyson A. S. Queiroz,  José Iranildo M. Melo","September, 2013","2013","English"
"Loreto - Amphibians and Reptiles of the Tapiche-Blanco Region","484","12","Peru","","Animals, Amphibians, Reptiles","Giussepe Gagliardi-Urrutia, Marco Odicio, Pablo J. Venegas","June, 2016","2016","English"
"Santander -- Pamplona Birds","481","6","Colombia","","Animals, Birds","Arley Omar Gallardo,  Jonathan Sequeda Zuleta,  Lesly Rocío Peña","August, 2013","2013","English"
"Pichincha -- Bosque Protector Jerusalem - Aves","480","7","Ecuador","","Animals, Birds","Héctor Cadena-Ortiz,  Santiago Varela,  Daniela Bahamonde-V.","July, 2013","2013","English"
"São Paulo -- Ilha do Cardoso Park - Fruits","479","4","Brazil","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Fruits","Eliana Cazetta,  Mauro Galetti","July, 2013","2013","English"
"Jalisco -- Chamela Birds","478","14","Mexico","","Animals, Birds","Juan Manuel Lobato García, Jorge Humberto Vega Rivera, Simon Octavio Valdez Juarez, Salvador Hernández Vásquez","July, 2013","2014","English"
"Cerrado -- Flowers and Fruits of Cerrado - Acanthaceae","477","1","Brazil","","Plants, Terrestrial herbs, Shrubs and treelets, Fruits","Denise Monte Braz,  Igor Enrique Freitas Azevedo","July, 2013","2013","English"
"Pernambuco -- Serra do Urubu Submontane Forest Plants","476","7","Brazil","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Débora Maria Cavalcanti Ferreira,  Bruno S. Amorim,  Aline Melo & Marccus Alves","June, 2013","2013","English"
"Minas Gerais -- Epiphytes of Fazenda Fortaleza de Sant’Anna","475","8","Brazil","","Plants, Epiphytes","Daniel E. F. Barbosa,  Geicilaine A. Basílio,  Fernando R. Silva,  Luiz Menini Neto","June, 2013","2013","English"
"Minas Gerais -- Juiz de Fora Bromeliaceae","474","4","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Luiz Menini Neto,  Samyra G. Furtado,  Letícia C. Dutra Dias,  Matheus G.C. Nogueira,  Ana Paula Gelli de Faria","May, 2013","2013","English"
"Minas Gerais -- Juiz de Fora  Orchidaceae","473","5","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Luiz Menini Neto,  Samyra G. Furtado,  André Luis Santiago","May, 2013","2013","English"
"Minas Gerais -- Viçosa - Melastomataceae","472","5","Brazil","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Rúbia Santos Fonseca,  Marcos Vinícius Ribeiro de Castro Simão,  Renato Goldenberg & Milene Faria Vieira","May, 2013","2013","English"
"Minas Gerais -- Espinhaço Range Gentianaceae","471","2","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Valdnéa Casagrande Dalvi,  Renata Maria Strozi Alves Meira,  Gilmar Edilberto Valente,  Aristéa Alves Azevedo","May, 2013","2013","English"
"Minas Gerais -- Serra do Cruz Vascular Epiphytes ","470","12","Brazil","","Plants, Epiphytes","Fernanda Eliane Alves,  Ricardo Ottoni Silva,  Luiz Menini Neto","April, 2013","2013","English"
"Cusco-Apurimac -- Limatambo, Cunyac, Curahuasi","469","8","Peru","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Isau Huamantupa,  Z. Magaly Cuba","April, 2013","2013","English"
"San Martín -- Alto Mayo Gesneriaceae","468","4","Peru","","Plants, Terrestrial herbs, Climbers, Epiphytes","Laura Clavijo,  John L. Clark","April, 2013","2013","English"
"Tolima -- Bosque Seco - Aves","467","16","Colombia","","Animals, Birds","William Enrique Figueroa,  Ronald Parra-Hernández,  Carlos Martínez-Chamorro & Adriana Torres","July, 2013","2013","English"
"Tropical America -- Podostemaceae: Castelnavia, Ceratolacis, Cipoia","465","2","Mexico, Belize, El Salvador, Honduras, Guatemala, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil, Bolivia, Peru, Ecuador","","Plants, Terrestrial herbs, Aquatic plants","Claudia Petean Bove,  C. Thomas Philbrick","February, 2013","2013","English"
"Amazonas --  Palmarí Reserve Birds","464","15","Brazil","","Animals, Birds","Diana M. Pinto O. ,  Camilo Rodríguez L.,  Axel Henry Antoine-Feill S,  Álvaro E. Rodríguez T","January, 2013","2013","English"
"Minas Gerais -- Cactaceae of Serra Negra","463","3","Brazil","","Plants, Terrestrial herbs, Shrubs and treelets, Climbers","Diego Rafael Gonzaga,  Daniela C. Zappi,  Luiz Menini Neto","January, 2013","2013","English"
"Tolima -- Parque Nacional del Agua Anfibios y Reptiles","462","2","Colombia","","Animals, Reptiles, Amphibians","Andrea Castro Gómez","January, 2013","2013","English"
"Cusco -- Acjanaco, Wayqecha, Pillahuata Amphibians","461","2","Peru","","Animals, Amphibians","Alessandro Catenazzi","December, 2012","2012","English"
"Cundinamarca -- Madrid cemetery - Lichens","460","2","Colombia","","Fungi and Lichens, Lichens","Gabriel Felipe Peñaloza,  Sebastián Silano Uribe,  Alejandro Pérez,  Bibiana Moncada","November, 2012","2012","English"
"Pernambuco -- Plants of RPPN Tabatinga ","459","10","Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Débora Cavalcanti,  Bruno S. Amorim,  Marccus Alves","October, 2012","2012","English"
"Pará -- Bromeliaceae of the Xingu River","458","2","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Bruno Martins de Mello,  Juliana Livian Lima de Abreu,  Ana Kelly Koch,  André Luiz de Rezende,  Anna Luiza Ilkiu-Borges","October, 2012","2012","English"
"Northeastern Brazil -- Solanum Flowers","457","1","Brazil","","Plants, Shrubs and treelets","Valéria S. Sampaio,  Maria de Fátima Agra","October, 2012","2012","English"
"Northeastern Brazil -- Atlantic Rainforest Solanum Fruits","456","1","Brazil","","Plants, Shrubs and treelets, Fruits","Valéria S. Sampaio,  Maria de Fátima Agra","October, 2012","2012","English"
"Orellana Province -- Birds of Yasuní Scientific Station","455","5","Ecuador","","Animals, Birds","Héctor Cadena-Ortiz","September, 2012","2012","English"
"Chiapas -- Selva Lacandona Birds","454","6","Mexico","","Animals, Birds","Juan Manuel Lobato García, Rafael Lombera Estrada, Ana María Gonález Di Pierro","June, 2014","2014","English"
"Rio de Janeiro -- Marambaia Island Tree Stems","453","4","Brazil","","Plants, Trees, Shrubs and treelets","Nathan Borges Gonçalves,  Illa Guimarães Proença,  Pablo Hugo Alves de Figueiredo,  Marilena de Menezes Silva Conde","October, 2012","2012","English"
"Bahia -- Plants of Contendas do Sincorá National Forest","452","5","Brazil","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Lucas Cardoso Marinho,  Filipe Ribeiro Sá Martins","November, 2012","2012","English"
"Amazonas -- Orthopterans of Tanimboca and Palmarí Reserves","451","5","Colombia","","Animals, Insects","Rodríguez López, Camilo, Diana M. Pinto O., Álvaro E. Rodríguez T.","August, 2012","2012","English"
"Rio Grande do Sul --  Vascular Plants of Fazenda São Maximiano","450","23","Brazil","","Plants, Trees, Terrestrial herbs, Shrubs and treelets, Climbers, Epiphytes","Greta A. Dettke,  Jaqueline Durigon,  Nelson I. Matzenbacher,  M. Angélica Kieling-Rubio,  Luís F.P. Lima,  Rafael Trevisan","July, 2012","2012","English"
"Atlantic Rainforest -- Ficus of the Atlantic Forest","449","4","Brazil","","Plants, Shrubs and treelets, Trees","Anderson F.P. Machado,  Rodrigo A.S. Pereira , Finn Kjellberg","July, 2012","2012","English"
"Loja -- Common Birds of Rumi Wilco","448","3","Ecuador","","Animals, Birds","Héctor Cadena-Ortiz","May, 2013","2013","English"
"Macondo -- Reserva Palmarí - Amphibians and Reptiles","447","11","Colombia","","Animals, Amphibians, Reptiles","Camilo Rodríguez López, Diana M. Pinto O., Álvaro E. Rodríguez T.","February, 2012","2012","English"
"Muheza and Korogwe Districts  -- Chameleons of Amani Nature Reserve","446","2","Tanzania","","Animals, Reptiles","Philip L. Shirk","","2011","English"
"Córdoba -- Common Mammals","445","2","Colombia","","Animals, Mammals","Julio Chacón Pacheco, Erika Humanez-López","","2012","English"
"São Paulo - Orchidaceae of Cantareira Park","444","5","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Luciano Ramos Zandoná, Eduardo Luis Martins Catharino","","2012","English"
"Iringa – Bats of Ruaha National Park","443","1","Tanzania","","Animals, Mammals","Bill Stanley, Rebecca Banasiak","","2012","English"
"Iringa -- Small Mammals of Ruaha National Park","442","1","Tanzania","","Animals, Mammals","Bill Stanley, Rebecca Banasiak","","2012","English"
"São Paulo -- Myrteae of Ilha do Cardoso","441","5","Brazil","","Plants, Trees, Shrubs and treelets","Vanessa Graziele Staggemeier, Marcos Eduardo Guerra Sobral, L. Patrícia C. Morellato","","2011","English"
"Epiphytic ferns and allies of Podocarpus Biosphere Reserve","440","12","Ecuador","","Plants, Terrestrial herbs, Epiphytes","Florian A. Werner, Glenda Mendieta-Leiva","","2011","English"
"Genus Pseudolaelia ","439","8","Brazil","","Plants, Terrestrial herbs, Climbers, Epiphytes","Luiz Menini Neto, Rafaela Campostrini Forzza, Cássio van den Berg","July, 2011","2011","English"
"Lichens of Cali - Valle del Cauca","438","1","Colombia","","Lichens, Fungi and Lichens","Edier Soto Medina, Ana Cristina Bolaños","","2011","English"
